[2026-09-08T12:50:47.929Z] 192.168.137.247 "GET /api/observe?case=S7&result=OK%20open&note=" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=S7 result=OK open
[2026-09-08T12:50:47.930Z] 192.168.137.247 "GET /api/observe?case=S9&result=%E6%97%A0%E7%BD%91%E7%BB%9C%E8%AF%B7%E6%B1%82%2C%E9%A2%84%E6%9C%9F%E5%8D%B3%E6%97%B6%E5%8F%AF%E7%94%A8&note=" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=S9 result=无网络请求 预期即时可用
[2026-09-08T12:51:00.325Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:01.139Z] 192.168.137.247 "GET /case-nav.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:08.936Z] 192.168.137.247 "GET /api/observe?case=N1&result=blocked&note=http%3A%2F%2F192.168.137.1%3A9011%2Fcase-nav.html" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=N1 result=blocked
[2026-09-08T12:51:10.100Z] 192.168.40.90 "GET /case-nav.html?case=N2" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:15.007Z] 192.168.40.90 "GET /case-nav.html?case=N3" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:23.833Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:24.438Z] 192.168.137.247 "GET /case-nav.html" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
[2026-09-08T12:51:27.544Z] 192.168.137.247 "GET /api/observe?case=N2&result=allowed&note=http%3A%2F%2F192.168.137.1%3A9011%2Fcase-nav.html" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=N2 result=allowed
[2026-09-08T12:51:27.990Z] 192.168.137.247 "GET /api/observe?case=N3&result=allowed&note=http%3A%2F%2F192.168.137.1%3A9011%2Fcase-nav.html" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=N3 result=allowed
[2026-09-08T12:51:29.157Z] 192.168.137.247 "GET /api/observe?case=N4&result=blocked&note=http%3A%2F%2F192.168.137.1%3A9011%2Fcase-nav.html" 204 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 OBSERVE case=N4 result=blocked
[2026-09-08T12:51:33.210Z] 192.168.137.247 "GET /" 200 UA=Mozilla/5.0 (Linux; Android 9; CB-C8hPro-STU Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/89.0.4389.72 MQQBrowser/6.2 TBS/046295 Mobile Safari/537.36 
